Agent,Seed,Heuristic,Solved,HNode,LNode,Time,Makespan,SOC,SOL
50,77,distance,1, 45, 213, 1, 44, 1234, 1155
50,77,conflict,1, 42, 191, 1, 41, 1231, 1149
50,77,neighbour,1, 75, 340, 1, 73, 1273, 1233
50,78,ML,1, 45, 201, 75, 44, 1264, 1186
50,78,distance,1, 45, 205, 1, 44, 1222, 1169
50,78,conflict,1, 45, 202, 1, 44, 1270, 1193
50,78,neighbour,1, 45, 192, 1, 44, 1264, 1202
50,79,ML,1, 38, 170, 67, 37, 1165, 1123
50,79,distance,1, 38, 166, 1, 37, 1136, 1101
50,79,conflict,1, 83, 793, 4, 44, 1253, 1158
50,79,neighbour,1, 44, 195, 2, 43, 1185, 1125
50,80,ML,0,-1,-1,-1,-1,-1,-1
50,80,distance,1, 53, 251, 2, 52, 1456, 1281
50,80,conflict,1, 57, 252, 2, 56, 1483, 1312
50,80,neighbour,1, 70, 319, 2, 69, 1720, 1446
50,81,ML,1, 42, 190, 65, 41, 1214, 1120
50,81,distance,1, 42, 189, 1, 41, 1240, 1149
50,81,conflict,1, 46, 209, 1, 45, 1228, 1146
50,81,neighbour,1, 52, 230, 2, 50, 1288, 1193
50,82,ML,1, 58, 264, 71, 57, 1372, 1292
50,82,distance,1, 52, 235, 1, 51, 1333, 1275
50,82,conflict,1, 52, 241, 1, 51, 1349, 1287
50,82,neighbour,1, 89, 470, 2, 79, 1546, 1489
50,83,ML,1, 50, 212, 65, 49, 1357, 1211
50,83,distance,1, 50, 225, 1, 49, 1303, 1197
50,83,conflict,1, 56, 252, 1, 55, 1390, 1269
50,83,neighbour,1, 52, 233, 1, 51, 1350, 1210
50,84,ML,1, 49, 230, 70, 48, 1342, 1231
50,84,distance,1, 49, 226, 1, 48, 1297, 1198
50,84,conflict,1, 51, 233, 2, 50, 1360, 1215
50,84,neighbour,1, 86, 378, 2, 84, 1530, 1285
50,85,ML,1, 46, 208, 70, 45, 1344, 1216
50,85,distance,1, 46, 212, 1, 45, 1320, 1220
50,85,conflict,1, 46, 208, 1, 45, 1346, 1208
50,85,neighbour,1, 61, 277, 1, 58, 1414, 1291
50,86,ML,1, 46, 213, 66, 45, 1285, 1147
50,86,distance,1, 46, 202, 2, 45, 1207, 1148
50,86,conflict,1, 46, 206, 1, 45, 1308, 1176
50,86,neighbour,1, 51, 224, 1, 50, 1293, 1144
50,87,ML,1, 51, 220, 68, 50, 1139, 1076
50,87,distance,1, 51, 241, 2, 50, 1231, 1104
