51 , distance , HNode: 44, LNode: 191, solved: 122ms, makespan: 43, sum_of_costs: 1211, sum_of_loss: 1129
51 , conflict , HNode: 45, LNode: 198, solved: 131ms, makespan: 44, sum_of_costs: 1282, sum_of_loss: 1155
51 , neighbour , HNode: 68, LNode: 317, solved: 171ms, makespan: 66, sum_of_costs: 1345, sum_of_loss: 1204
52 , ML , HNode: 48, LNode: 209, solved: 164ms, makespan: 47, sum_of_costs: 1181, sum_of_loss: 1108
52 , distance , HNode: 48, LNode: 224, solved: 109ms, makespan: 47, sum_of_costs: 1247, sum_of_loss: 1117
52 , conflict , HNode: 57, LNode: 249, solved: 126ms, makespan: 55, sum_of_costs: 1265, sum_of_loss: 1177
52 , neighbour , HNode: 48, LNode: 206, solved: 108ms, makespan: 47, sum_of_costs: 1204, sum_of_loss: 1102
53 , ML , HNode: 61, LNode: 281, solved: 181ms, makespan: 60, sum_of_costs: 1374, sum_of_loss: 1217
53 , distance , HNode: 55, LNode: 252, solved: 136ms, makespan: 54, sum_of_costs: 1376, sum_of_loss: 1247
53 , conflict , HNode: 55, LNode: 249, solved: 141ms, makespan: 54, sum_of_costs: 1351, sum_of_loss: 1226
53 , neighbour , HNode: 55, LNode: 240, solved: 149ms, makespan: 54, sum_of_costs: 1358, sum_of_loss: 1221
54 , ML , HNode: 45, LNode: 205, solved: 171ms, makespan: 44, sum_of_costs: 1108, sum_of_loss: 1075
54 , distance , HNode: 45, LNode: 205, solved: 102ms, makespan: 44, sum_of_costs: 1129, sum_of_loss: 1097
54 , conflict , HNode: 45, LNode: 205, solved: 102ms, makespan: 44, sum_of_costs: 1153, sum_of_loss: 1102
54 , neighbour , HNode: 50, LNode: 221, solved: 119ms, makespan: 49, sum_of_costs: 1187, sum_of_loss: 1141
55 , ML , HNode: 52, LNode: 232, solved: 164ms, makespan: 51, sum_of_costs: 1431, sum_of_loss: 1288
55 , distance , HNode: 48, LNode: 222, solved: 107ms, makespan: 47, sum_of_costs: 1387, sum_of_loss: 1267
55 , conflict , HNode: 86, LNode: 434, solved: 199ms, makespan: 83, sum_of_costs: 1572, sum_of_loss: 1420
55 , neighbour , HNode: 72, LNode: 327, solved: 180ms, makespan: 70, sum_of_costs: 1577, sum_of_loss: 1380
56 , ML , HNode: 48, LNode: 222, solved: 173ms, makespan: 47, sum_of_costs: 1324, sum_of_loss: 1193
56 , distance , HNode: 47, LNode: 215, solved: 107ms, makespan: 46, sum_of_costs: 1328, sum_of_loss: 1217
56 , conflict , HNode: 48, LNode: 216, solved: 107ms, makespan: 47, sum_of_costs: 1350, sum_of_loss: 1215
56 , neighbour , HNode: 79, LNode: 370, solved: 166ms, makespan: 77, sum_of_costs: 1540, sum_of_loss: 1256
57 , ML , HNode: 50, LNode: 230, solved: 160ms, makespan: 49, sum_of_costs: 1384, sum_of_loss: 1188
57 , distance , HNode: 50, LNode: 233, solved: 112ms, makespan: 49, sum_of_costs: 1290, sum_of_loss: 1149
57 , conflict , HNode: 50, LNode: 228, solved: 122ms, makespan: 49, sum_of_costs: 1338, sum_of_loss: 1164
57 , neighbour , HNode: 62, LNode: 281, solved: 157ms, makespan: 61, sum_of_costs: 1442, sum_of_loss: 1263
58 , ML , HNode: 45, LNode: 204, solved: 175ms, makespan: 44, sum_of_costs: 1321, sum_of_loss: 1269
58 , distance , HNode: 45, LNode: 209, solved: 118ms, makespan: 44, sum_of_costs: 1386, sum_of_loss: 1328
